county,registered_voters,per_turnout,not_voted,orourke,per_orourke,abbott,per_abbott,last_updated,winning,margin
FISHER,2681,0.5225662066393136,1280,210,14.99,1172,83.65,"Dec 13, 2022, 10:49PM",Greg Abbott,962
FLOYD,3669,0.39983646770237125,2202,201,13.7,1250,85.21,"Dec 13, 2022, 10:49PM",Greg Abbott,1049
FOARD,824,0.6419902912621359,295,69,13.04,452,85.44,"Dec 13, 2022, 10:49PM",Greg Abbott,383
FORT BEND,521611,0.4794109019940147,271545,129116,51.63,117249,46.89,"Dec 13, 2022, 10:49PM",Beto O'Rourke,11867
FRANKLIN,7228,0.5419203099059214,3311,512,13.07,3369,86.01,"Dec 13, 2022, 10:49PM",Greg Abbott,2857
FREESTONE,12749,0.5224723507726096,6088,991,14.88,5600,84.07,"Dec 13, 2022, 10:49PM",Greg Abbott,4609
FRIO,9114,0.40904103576914635,5386,1791,48.04,1872,50.21,"Dec 13, 2022, 10:49PM",Greg Abbott,81
GAINES,9897,0.41558047893301,5784,311,7.56,3761,91.44,"Dec 13, 2022, 10:49PM",Greg Abbott,3450
GALVESTON,235262,0.4706837483316473,124528,40229,36.33,68822,62.15,"Dec 13, 2022, 10:49PM",Greg Abbott,28593
GARZA,2659,0.45129748025573524,1459,135,11.25,1056,88.0,"Dec 13, 2022, 10:49PM",Greg Abbott,921
GILLESPIE,21123,0.6338588268711831,7734,2421,18.08,10801,80.67,"Dec 13, 2022, 10:49PM",Greg Abbott,8380
GLASSCOCK,813,0.7035670356703567,241,27,4.72,542,94.76,"Dec 13, 2022, 10:49PM",Greg Abbott,515
GOLIAD,5771,0.5832611332524692,2405,663,19.7,2664,79.14,"Dec 13, 2022, 10:49PM",Greg Abbott,2001
GONZALES,12685,0.43878596767836026,7119,1129,20.28,4369,78.49,"Dec 13, 2022, 10:49PM",Greg Abbott,3240
GRAY,12611,0.44072635001189436,7053,478,8.6,5013,90.19,"Dec 13, 2022, 10:49PM",Greg Abbott,4535
GRAYSON,92038,0.4888307003628936,47047,9563,21.26,34903,77.58,"Dec 13, 2022, 10:49PM",Greg Abbott,25340
GREGG,73931,0.4492702655178477,40716,8662,26.08,24223,72.93,"Dec 13, 2022, 10:49PM",Greg Abbott,15561
GRIMES,19170,0.492018779342723,9738,1732,18.36,7607,80.65,"Dec 13, 2022, 10:49PM",Greg Abbott,5875
GUADALUPE,119523,0.47858571153669166,62321,19356,33.84,36882,64.48,"Dec 13, 2022, 10:49PM",Greg Abbott,17526
HALE,18458,0.3428865532560407,12129,1165,18.41,5094,80.49,"Dec 13, 2022, 10:49PM",Greg Abbott,3929
HALL,1832,0.4787117903930131,955,94,10.72,772,88.03,"Dec 13, 2022, 10:49PM",Greg Abbott,678
HAMILTON,5964,0.5828303152246814,2488,433,12.46,3006,86.48,"Dec 13, 2022, 10:49PM",Greg Abbott,2573
HANSFORD,2970,0.5124579124579125,1448,91,5.98,1419,93.23,"Dec 13, 2022, 10:49PM",Greg Abbott,1328
HARDEMAN,2459,0.4005693371289142,1474,114,11.57,866,87.92,"Dec 13, 2022, 10:49PM",Greg Abbott,752
HARDIN,41408,0.47403883307573413,21779,2035,10.37,17447,88.88,"Dec 13, 2022, 10:49PM",Greg Abbott,15412
HARRIS,2568463,0.4292131130563298,1466045,595653,54.03,490261,44.47,"Dec 13, 2022, 10:49PM",Beto O'Rourke,105392
HARRISON,45789,0.46640022712878637,24433,4688,21.95,16472,77.13,"Dec 13, 2022, 10:49PM",Greg Abbott,11784
HARTLEY,2682,0.586875466070097,1108,96,6.1,1463,92.95,"Dec 13, 2022, 10:49PM",Greg Abbott,1367
HASKELL,3375,0.4948148148148148,1705,191,11.44,1465,87.72,"Dec 13, 2022, 10:49PM",Greg Abbott,1274
HAYS,167750,0.5346229508196721,78067,48970,54.6,39085,43.58,"Dec 13, 2022, 10:49PM",Beto O'Rourke,9885
HEMPHILL,2303,0.5909683022145028,942,138,10.14,1198,88.02,"Dec 13, 2022, 10:49PM",Greg Abbott,1060
HENDERSON,58253,0.480696273153314,30251,4798,17.13,22909,81.81,"Dec 13, 2022, 10:49PM",Greg Abbott,18111
HIDALGO,416978,0.33861738508986083,275782,82671,58.55,56783,40.22,"Dec 13, 2022, 10:49PM",Beto O'Rourke,25888
HILL,25006,0.4552907302247461,13621,1830,16.07,9418,82.72,"Dec 13, 2022, 10:49PM",Greg Abbott,7588
HOCKLEY,13510,0.40940044411547,7979,786,14.21,4690,84.79,"Dec 13, 2022, 10:49PM",Greg Abbott,3904
HOOD,48651,0.5596596164518715,21423,4301,15.8,22596,82.99,"Dec 13, 2022, 10:49PM",Greg Abbott,18295
HOPKINS,24724,0.49955508817343475,12373,1999,16.18,10223,82.77,"Dec 13, 2022, 10:49PM",Greg Abbott,8224
HOUSTON,13472,0.5332541567695962,6288,1399,19.47,5726,79.7,"Dec 13, 2022, 10:49PM",Greg Abbott,4327
HOWARD,16934,0.3878587457186725,10366,1077,16.4,5367,81.71,"Dec 13, 2022, 10:49PM",Greg Abbott,4290
HUDSPETH,2097,0.43204577968526464,1191,270,29.8,606,66.89,"Dec 13, 2022, 10:49PM",Greg Abbott,336
HUNT,64334,0.47471010663101937,33794,6422,21.03,23744,77.75,"Dec 13, 2022, 10:49PM",Greg Abbott,17322
HUTCHINSON,13333,0.45466136653416334,7271,540,8.91,5437,89.69,"Dec 13, 2022, 10:49PM",Greg Abbott,4897
IRION,1229,0.565500406834825,534,70,10.07,618,88.92,"Dec 13, 2022, 10:49PM",Greg Abbott,548
JACK,5603,0.5341781188648939,2610,227,7.58,2744,91.68,"Dec 13, 2022, 10:49PM",Greg Abbott,2517
JACKSON,9552,0.4812604690117253,4955,550,11.96,4013,87.3,"Dec 13, 2022, 10:49PM",Greg Abbott,3463
JASPER,23739,0.47933779855933273,12360,1601,14.07,9701,85.25,"Dec 13, 2022, 10:49PM",Greg Abbott,8100
JEFF DAVIS,1584,0.6628787878787878,534,374,35.62,641,61.05,"Dec 13, 2022, 10:49PM",Greg Abbott,267
JEFFERSON,147873,0.42232861982917774,85422,26641,42.66,34988,56.02,"Dec 13, 2022, 10:49PM",Greg Abbott,8347
JIM HOGG,3702,0.4165316045380875,2160,876,56.81,650,42.15,"Dec 13, 2022, 10:49PM",Beto O'Rourke,226
JIM WELLS,26593,0.35885383371563945,17050,4375,45.85,5063,53.05,"Dec 13, 2022, 10:49PM",Greg Abbott,688
JOHNSON,116736,0.4785498903508772,60872,12266,21.96,42954,76.89,"Dec 13, 2022, 10:49PM",Greg Abbott,30688
JONES,10294,0.4849426850592578,5302,581,11.64,4349,87.12,"Dec 13, 2022, 10:49PM",Greg Abbott,3768
KARNES,8351,0.45719075559813194,4533,776,20.32,3007,78.76,"Dec 13, 2022, 10:49PM",Greg Abbott,2231
KAUFMAN,93515,0.4580120836229482,50684,14024,32.74,28306,66.09,"Dec 13, 2022, 10:49PM",Greg Abbott,14282
KENDALL,36571,0.6168001968773071,14014,4506,19.98,17719,78.55,"Dec 13, 2022, 10:49PM",Greg Abbott,13213
KENEDY,301,0.5083056478405316,148,42,27.45,109,71.24,"Dec 13, 2022, 10:49PM",Greg Abbott,67
KENT,588,0.5952380952380952,238,34,9.71,312,89.14,"Dec 13, 2022, 10:49PM",Greg Abbott,278
KERR,39036,0.5758786760938621,16556,4648,20.68,17524,77.95,"Dec 13, 2022, 10:49PM",Greg Abbott,12876
KIMBLE,3174,0.591052299936988,1298,188,10.02,1666,88.81,"Dec 13, 2022, 10:49PM",Greg Abbott,1478
KING,158,0.6518987341772152,55,3,2.91,100,97.09,"Dec 13, 2022, 10:49PM",Greg Abbott,97
KINNEY,2183,0.5469537333944113,989,258,21.61,907,75.96,"Dec 13, 2022, 10:49PM",Greg Abbott,649
KLEBERG,18605,0.4100510615425961,10976,3463,45.39,4074,53.4,"Dec 13, 2022, 10:49PM",Greg Abbott,611
KNOX,2176,0.47794117647058826,1136,140,13.46,889,85.48,"Dec 13, 2022, 10:49PM",Greg Abbott,749
LAMAR,32359,0.47411848326586115,17017,2657,17.32,12521,81.61,"Dec 13, 2022, 10:49PM",Greg Abbott,9864
LAMB,7864,0.3916581892166836,4784,419,13.6,2628,85.32,"Dec 13, 2022, 10:49PM",Greg Abbott,2209
LAMPASAS,15904,0.5188003018108652,7653,1502,18.2,6625,80.29,"Dec 13, 2022, 10:49PM",Greg Abbott,5123
LA SALLE,4311,0.3333333333333333,2874,662,46.07,761,52.96,"Dec 13, 2022, 10:49PM",Greg Abbott,99
LAVACA,13986,0.586944086944087,5777,759,9.25,7380,89.9,"Dec 13, 2022, 10:49PM",Greg Abbott,6621
LEE,11539,0.544414593985614,5257,1095,17.43,5108,81.31,"Dec 13, 2022, 10:49PM",Greg Abbott,4013
LEON,11896,0.5769166106254203,5033,698,10.17,6082,88.62,"Dec 13, 2022, 10:49PM",Greg Abbott,5384
LIBERTY,49826,0.3972022638782965,30035,3488,17.62,16080,81.25,"Dec 13, 2022, 10:49PM",Greg Abbott,12592
LIMESTONE,13952,0.4910407110091743,7101,1366,19.94,5390,78.67,"Dec 13, 2022, 10:49PM",Greg Abbott,4024
LIPSCOMB,1901,0.5139400315623356,924,69,7.06,894,91.5,"Dec 13, 2022, 10:49PM",Greg Abbott,825
LIVE OAK,7677,0.5210368633580826,3677,545,13.62,3424,85.6,"Dec 13, 2022, 10:49PM",Greg Abbott,2879
LLANO,17557,0.6281824913140058,6528,1920,17.41,8977,81.39,"Dec 13, 2022, 10:49PM",Greg Abbott,7057
LOVING,109,0.7247706422018348,30,6,7.59,70,88.61,"Dec 13, 2022, 10:49PM",Greg Abbott,64
